47,Jerri,Noel,JNoel@nd.edu,Computer Science and Engineering, 
48,Dona,Small,DSmall@nd.edu,Computer Science and Engineering, 
49,Erik,Theriault,ETheriault@nd.edu,Computer Science and Engineering, 
50,Earnestine,Mosley,Emosley@nd.edu,Computer Science and Engineering, 
51,Jimmie,Petty,JPetty@nd.edu,Computer Science and Engineering, 
52,Burton,Saul,BSaul@nd.edu,Computer Science and Engineering, 
53,Juanita,Hardy,JHardy@nd.edu,Civil Engineering, 
54,Benny,Vanover,BVanover@nd.edu,Civil Engineering, 
55,Harrison,Badillo,HBadillo@nd.edu,Mechanical Engineering, 
56,Jorge,Bevins,JBevins@nd.edu,Mechanical Engineering, 
57,Briana,Tyson,BTyson@nd.edu,Mechanical Engineering, 
58,Shelby,Abbott,SAbbott@nd.edu,Computer Science and Engineering, 
59,Carlos,Lauer,CLauer@nd.edu,Computer Science and Engineering, 
60,Kristi,Kaufman,KKaufman@nd.edu,Computer Science and Engineering, 
61,Sophia,Wilder,SWilder@nd.edu,Computer Science and Engineering, 
62,Angelita,Valentine,AValentine@nd.edu,Aerospace Engineering, 
63,Dexter,Wyant,DWyant@nd.edu,Computer Science and Engineering, 
64,Monique,McMillan,MMcMillan@nd.edu,Computer Science and Engineering, 
65,Miles,Runyan,MRunyan@nd.edu,Computer Science and Engineering, 
66,Liza,Grimes,LGrimes@nd.edu,Computer Science and Engineering, 
67,Mara,Alford,MAlford@nd.edu,Aerospace Engineering, 
68,Alison,Ochoa,AOchoa@nd.edu,Computer Science and Engineering, 
69,Leslie,Navarro,LNavarro@nd.edu,Computer Science and Engineering, 
70,Jo,Ochoa,JOchoa@nd.edu,Computer Science and Engineering, 
71,Jacklyn,Steele,JSteele@nd.edu,Computer Science and Engineering, 
72,Karyn,Dale,KDale@nd.edu,Aerospace Engineering, 
73,Ines,Meyers,IMeyers@nd.edu,Civil Engineering, 
74,Vincent,Doucette,VDoucette@nd.edu,Computer Science and Engineering, 
75,Noemi,Chase,NChase@nd.edu,Computer Science and Engineering, 
76,Daryl,Flemming,DFlemming@nd.edu,Computer Science and Engineering, 
77,Winnie,Carson,WCarson@nd.edu,Computer Science and Engineering, 
78,Ilene,Valentine,IValentine@nd.edu,Civil Engineering, 
79,Alton,Wooley,AWooley@nd.edu,Aerospace Engineering, 
80,Lizzie,Stokes,LStokes@nd.edu,Civil Engineering, 
81,Amos,Crumpton,ACrumpton@nd.edu,Mechanical Engineering, 
82,Belinda,Orr,BOrr@nd.edu,Civil Engineering, 
83,Desiree,Hawkins,DHawkins@nd.edu,Computer Science and Engineering, 
84,Dane,McCullough,DMcCullough@nd.edu,Computer Science and Engineering, 
85,Genevieve,Cole,GCole@nd.edu,Computer Science and Engineering, 
86,Ramiro,Skeen,RSkeen@nd.edu,Computer Science and Engineering, 
